stateProvince,year,num_observations,num_users
Ohio,2015,3636,202
Ohio,2016,8718,501
Ohio,2017,8366,512
Ohio,2018,17114,830
Ohio,2019,24552,1628
Ohio,2020,39828,2629
Oklahoma,2015,813,61
Oklahoma,2016,2030,108
Oklahoma,2017,4567,147
Oklahoma,2018,6144,252
Oklahoma,2019,7300,464
Oklahoma,2020,14745,893
Oregon,2015,1540,185
Oregon,2016,3725,263
Oregon,2017,8979,484
Oregon,2018,10353,663
Oregon,2019,17601,1175
Oregon,2020,25545,1755
Pennsylvania,2015,2558,179
Pennsylvania,2016,4029,291
Pennsylvania,2017,4741,357
Pennsylvania,2018,10618,575
Pennsylvania,2019,20879,1750
Pennsylvania,2020,42573,3189
Rhode Island,2015,134,13
Rhode Island,2016,168,18
Rhode Island,2017,315,26
Rhode Island,2018,223,47
Rhode Island,2019,691,122
Rhode Island,2020,1911,236
South Carolina,2015,893,98
South Carolina,2016,1911,180
South Carolina,2017,2749,180
South Carolina,2018,5566,278
South Carolina,2019,9558,714
South Carolina,2020,11014,1066
South Dakota,2015,204,24
South Dakota,2016,493,31
South Dakota,2017,493,29
South Dakota,2018,443,29
South Dakota,2019,423,58
South Dakota,2020,966,127
Tennessee,2015,1375,94
Tennessee,2016,4151,233
Tennessee,2017,3953,243
Tennessee,2018,5466,396
Tennessee,2019,15503,1141
Tennessee,2020,21842,1721
Texas,2015,28740,1110
Texas,2016,50595,1638
Texas,2017,101650,2346
Texas,2018,145849,3127
Texas,2019,213534,6797
Texas,2020,275600,10004
Utah,2015,436,86
Utah,2016,1153,122
Utah,2017,2412,220
Utah,2018,4206,356
Utah,2019,6089,681
Utah,2020,9309,1112
Vermont,2015,5727,166
Vermont,2016,10370,308
Vermont,2017,10953,296
Vermont,2018,8994,364
Vermont,2019,13421,611
Vermont,2020,22340,1090
Virginia,2015,2377,235
Virginia,2016,4930,453
Virginia,2017,9604,552
Virginia,2018,16560,829
Virginia,2019,30746,2013
Virginia,2020,50685,3144
Washington,2015,1545,156
Washington,2016,4246,313
Washington,2017,8859,383
Washington,2018,15811,816
Washington,2019,19456,1493
Washington,2020,26674,2360
West Virginia,2015,232,27
West Virginia,2016,584,52
West Virginia,2017,1304,78
West Virginia,2018,2235,131
West Virginia,2019,1874,236
West Virginia,2020,3928,350
Wisconsin,2015,747,69
Wisconsin,2016,1745,200
Wisconsin,2017,7557,238
Wisconsin,2018,4932,303
Wisconsin,2019,9619,578
Wisconsin,2020,18640,1253
Wyoming,2015,248,30
Wyoming,2016,201,49
Wyoming,2017,473,54
Wyoming,2018,1057,94
Wyoming,2019,1249,151
Wyoming,2020,1584,164
