state,year,num_observations,num_users,urban_obs,pctUrban,stayathome
North Carolina,2016,4860,60,621,12.7777777777778,0
North Carolina,2017,3874,55,1041,26.8714506969541,0
North Carolina,2018,3947,66,1286,32.5817076260451,0
North Carolina,2019,4281,93,2072,48.399906563887,0
North Carolina,2020,3463,76,1938,55.9630378284724,0
North Dakota,2015,1813,5,1,0.055157198014341,0
North Dakota,2016,40,3,16,40,0
North Dakota,2017,1988,77,1496,75.251509054326,0
North Dakota,2018,4,4,4,100,0
North Dakota,2019,1,1,1E-20,0,0
North Dakota,2020,1E-20,1E-20,1E-20,0,38
Nebraska,2015,113,5,18,15.929203539823,0
Nebraska,2016,28,2,0,0,0
Nebraska,2017,28,3,5,17.8571428571429,0
Nebraska,2018,5,1,1E-20,0,0
Nebraska,2019,50,4,41,82,0
Nebraska,2020,4,3,2,50,82
New Hampshire,2015,4168,26,50,1.19961612284069,0
New Hampshire,2016,3347,23,14,0.418285031371377,0
New Hampshire,2017,3766,17,7,0.185873605947955,0
New Hampshire,2018,3981,24,9,0.226073850791258,0
New Hampshire,2019,3986,24,7,0.175614651279478,0
New Hampshire,2020,2722,31,453,16.6421748714181,81
New Jersey,2015,69,4,69,100,0
New Jersey,2016,33,4,32,96.969696969697,0
New Jersey,2017,163,11,98,60.1226993865031,0
New Jersey,2018,81,13,70,86.4197530864197,0
New Jersey,2019,22,8,19,86.3636363636364,0
New Jersey,2020,1665,12,79,4.74474474474475,69
New Mexico,2015,890,18,351,39.438202247191,0
New Mexico,2016,1044,20,581,55.6513409961686,0
New Mexico,2017,2009,33,995,49.5271279243405,0
New Mexico,2018,2329,36,970,41.6487762988407,0
New Mexico,2019,2105,34,707,33.5866983372922,0
New Mexico,2020,1085,30,463,42.6728110599078,68
Nevada,2015,120,5,100,83.3333333333333,0
Nevada,2016,146,3,133,91.0958904109589,0
Nevada,2017,62,4,59,95.1612903225807,0
Nevada,2018,13,2,13,100,0
Nevada,2019,26,2,20,76.9230769230769,0
Nevada,2020,1,1,1,100,54
New York,2015,10813,128,5393,49.8751502820679,0
New York,2016,14373,141,7791,54.2058025464412,0
New York,2017,14003,204,7638,54.5454545454545,0
New York,2018,17110,264,9891,57.8082992402104,0
New York,2019,15631,180,9188,58.7806282387563,0
New York,2020,9712,231,3326,34.2462932454695,0
Ohio,2015,770,9,558,72.4675324675325,0
Ohio,2016,1111,24,738,66.4266426642664,0
Ohio,2017,800,9,732,91.5,0
Ohio,2018,1020,17,770,75.4901960784314,0
Ohio,2019,2328,35,1470,63.1443298969072,0
Ohio,2020,2161,30,1088,50.3470615455808,68
Oklahoma,2015,230,7,1E-20,0,0
Oklahoma,2016,1E-20,1E-20,1E-20,0,0
Oklahoma,2017,1,1,1,100,0
Oklahoma,2018,13,3,10,76.9230769230769,0
Oklahoma,2019,117,8,113,96.5811965811966,0
Oklahoma,2020,65,27,62,95.3846153846154,74
Oregon,2015,1992,53,400,20.0803212851406,0
Oregon,2016,1052,23,187,17.7756653992395,0
Oregon,2017,1310,48,346,26.412213740458,0
Oregon,2018,2120,84,972,45.8490566037736,0
Oregon,2019,2019,64,1128,55.8692421991085,0
Oregon,2020,1842,45,1432,77.7415852334419,40
Pennsylvania,2015,1019,21,196,19.234543670265,0
Pennsylvania,2016,2354,30,394,16.7374681393373,0
Pennsylvania,2017,2665,49,500,18.7617260787993,0
Pennsylvania,2018,3123,78,1936,61.9916746717899,0
Pennsylvania,2019,1514,47,463,30.5812417437252,0
Pennsylvania,2020,1726,63,871,50.4634994206257,74
Rhode Island,2015,26,1,1E-20,0,0
Rhode Island,2016,4,2,4,100,0
Rhode Island,2017,12,1,12,100,0
Rhode Island,2018,58,1,58,100,0
Rhode Island,2019,0,0,0,0,0
Rhode Island,2020,20,2,20,100,42
South Carolina,2015,35,4,16,45.7142857142857,0
South Carolina,2016,703,3,574,81.6500711237553,0
South Carolina,2017,1064,3,1064,100,0
South Carolina,2018,1466,1,1466,100,0
South Carolina,2019,1092,3,1087,99.5421245421245,0
South Carolina,2020,99,2,99,100,29
South Dakota,2015,647,4,600,92.7357032457496,0
South Dakota,2016,627,3,591,94.2583732057416,0
South Dakota,2017,402,4,323,80.3482587064677,0
South Dakota,2018,717,20,438,61.0878661087866,0
South Dakota,2019,1306,30,484,37.0597243491577,0
South Dakota,2020,343,15,23,6.70553935860058,0
Tennessee,2015,10177,45,481,4.72634371622286,0
Tennessee,2016,11232,48,45,0.400641025641026,0
Tennessee,2017,12654,72,626,4.94705231547337,0
Tennessee,2018,12424,51,421,3.38860270444301,0
