stateProvince,year,num_observations,num_users,urban_obs,pctUrban,stayathome
Virginia,2018,20916,999,11153,53.322815069803,0
Virginia,2019,39580,2591,20750,52.4254674077817,0
Virginia,2020,64914,3755,36942,56.909141325446,48
Washington,2015,2124,207,612,28.8135593220339,0
Washington,2016,6076,394,1953,32.1428571428571,0
Washington,2017,11559,484,4607,39.8563889609828,0
Washington,2018,20383,1012,8458,41.4953637835451,0
Washington,2019,27242,1992,11022,40.4595844651641,0
Washington,2020,34030,2864,15682,46.0828680575962,68
West Virginia,2015,326,40,51,15.6441717791411,0
West Virginia,2016,784,72,281,35.8418367346939,0
West Virginia,2017,2207,103,822,37.2451291345718,0
West Virginia,2018,2969,180,888,29.9090602896598,0
West Virginia,2019,3059,368,485,15.8548545276234,0
West Virginia,2020,5925,495,1253,21.1476793248945,42
Wisconsin,2015,1294,103,225,17.3879443585781,0
Wisconsin,2016,3311,249,795,24.0108728480822,0
Wisconsin,2017,11997,321,2106,17.5543885971493,0
Wisconsin,2018,10959,450,2058,18.7790856830003,0
Wisconsin,2019,17017,903,3676,21.6019274842804,0
Wisconsin,2020,27845,1670,9407,33.7834440653618,50
Wyoming,2015,349,52,3,0.859598853868195,0
Wyoming,2016,515,90,17,3.30097087378641,0
Wyoming,2017,917,116,23,2.50817884405671,0
Wyoming,2018,1805,163,96,5.3185595567867,0
Wyoming,2019,2231,310,101,4.52711788435679,0
Wyoming,2020,2573,304,261,10.1438010104936,0
